model,accuracy,f1,precision,recall,auc
Baseline,0.9100864553314121,0.738255033557047,0.8058608058608059,0.6811145510835913,0.9511550706461204
Mixup (동일),0.9072046109510087,0.7190226876090751,0.824,0.6377708978328174,0.9460353099044896
Mixup (교차),0.9112391930835735,0.7335640138408305,0.8313725490196079,0.6563467492260062,0.9537379734956455
CutMix,0.9077809798270894,0.7047970479704797,0.8721461187214612,0.5913312693498453,0.9526635911558601
